query,n_removed,baseline_loss,filtered_loss,loss_change
0,80,2.8937671184539795,2.90641450881958,0.012647390365600586
1,80,2.964872360229492,2.9702694416046143,0.00539708137512207
2,80,2.866971254348755,2.875758409500122,0.008787155151367188
3,80,2.915562629699707,2.9282987117767334,0.012736082077026367
4,80,3.428081750869751,3.444671392440796,0.016589641571044922
5,80,3.135974645614624,3.1415746212005615,0.0055999755859375
6,80,3.70707631111145,3.7164554595947266,0.009379148483276367
7,80,3.759359359741211,3.7622148990631104,0.002855539321899414
8,80,3.7953217029571533,3.8026368618011475,0.007315158843994141
9,80,3.5441393852233887,3.5553998947143555,0.011260509490966797
10,80,3.396273612976074,3.4101572036743164,0.013883590698242188
11,80,2.7513833045959473,2.757277250289917,0.0058939456939697266
12,80,3.1670851707458496,3.1986682415008545,0.03158307075500488
13,80,3.4069435596466064,3.4160819053649902,0.009138345718383789
14,80,3.425936698913574,3.4386024475097656,0.012665748596191406
15,80,3.172257661819458,3.208425521850586,0.03616786003112793
16,80,3.4073164463043213,3.4117276668548584,0.004411220550537109
17,80,3.5208139419555664,3.5271999835968018,0.0063860416412353516
18,80,3.662959098815918,3.674973726272583,0.012014627456665039
19,80,4.028083801269531,4.036145210266113,0.008061408996582031
