query,n_removed,baseline_loss,filtered_loss,loss_change
0,400,3.1339352130889893,3.161801338195801,0.027866125106811523
1,400,2.7015514373779297,2.7483439445495605,0.04679250717163086
2,400,2.587773561477661,2.6290464401245117,0.041272878646850586
3,400,2.6439568996429443,2.685028076171875,0.041071176528930664
4,400,2.6947758197784424,2.7871758937835693,0.09240007400512695
5,400,1.5219128131866455,1.6957781314849854,0.17386531829833984
6,400,3.748164415359497,3.7918994426727295,0.04373502731323242
7,400,3.374769449234009,3.4111292362213135,0.03635978698730469
8,400,2.1571896076202393,2.190730333328247,0.03354072570800781
9,400,1.984029769897461,2.0549278259277344,0.07089805603027344
10,400,2.233611822128296,2.3346729278564453,0.10106110572814941
11,400,3.1906492710113525,3.2316043376922607,0.0409550666809082
12,400,3.2105870246887207,3.2711894512176514,0.060602426528930664
13,400,3.244818925857544,3.306060791015625,0.061241865158081055
14,400,2.859053373336792,2.9075398445129395,0.04848647117614746
15,400,3.1461360454559326,3.1897757053375244,0.0436396598815918
16,400,2.6040422916412354,2.6425678730010986,0.03852558135986328
17,400,3.0962626934051514,3.1501760482788086,0.05391335487365723
18,400,2.146991014480591,2.2948014736175537,0.1478104591369629
19,400,2.3162739276885986,2.3897147178649902,0.0734407901763916
