subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,40,3.0450241565704346,3.045470714569092,0.00044655799865722656
0,1,40,3.3648457527160645,3.3651859760284424,0.0003402233123779297
0,2,40,3.476321220397949,3.4768729209899902,0.0005517005920410156
0,3,40,3.6323862075805664,3.632852077484131,0.0004658699035644531
0,4,40,3.949671506881714,3.9490134716033936,-0.0006580352783203125
1,0,40,3.0450241565704346,3.0454671382904053,0.0004429817199707031
1,1,40,3.3648457527160645,3.36519455909729,0.00034880638122558594
1,2,40,3.476321220397949,3.4764463901519775,0.0001251697540283203
1,3,40,3.6323862075805664,3.632739305496216,0.00035309791564941406
1,4,40,3.949671506881714,3.949754238128662,8.273124694824219e-05
2,0,40,3.0450241565704346,3.0453224182128906,0.0002982616424560547
2,1,40,3.3648457527160645,3.364942789077759,9.703636169433594e-05
2,2,40,3.476321220397949,3.476447105407715,0.000125885009765625
2,3,40,3.6323862075805664,3.6318936347961426,-0.0004925727844238281
2,4,40,3.949671506881714,3.950072765350342,0.0004012584686279297
