query,n_removed,baseline_loss,filtered_loss,loss_change
0,40,3.268167495727539,3.386054039001465,0.11788654327392578
1,40,3.413797378540039,3.5506489276885986,0.13685154914855957
2,40,3.2602458000183105,3.447843551635742,0.18759775161743164
3,40,2.801914930343628,2.979452610015869,0.1775376796722412
4,40,2.694676637649536,2.8663625717163086,0.17168593406677246
5,40,3.0889086723327637,3.303866386413574,0.21495771408081055
6,40,3.1228930950164795,3.3075966835021973,0.18470358848571777
7,40,3.151041269302368,3.358938694000244,0.20789742469787598
8,40,2.9171319007873535,3.079768180847168,0.16263628005981445
9,40,3.0876996517181396,3.293067216873169,0.2053675651550293
10,40,3.2961511611938477,3.5059823989868164,0.20983123779296875
11,40,2.8291869163513184,3.0363693237304688,0.2071824073791504
12,40,3.087320327758789,3.2772164344787598,0.1898961067199707
13,40,3.657747268676758,3.768566131591797,0.11081886291503906
14,40,3.4712250232696533,3.6196224689483643,0.14839744567871094
15,40,3.4262795448303223,3.576641082763672,0.1503615379333496
16,40,3.7656331062316895,3.8815958499908447,0.11596274375915527
17,40,3.330321788787842,3.4649198055267334,0.1345980167388916
18,40,2.7123966217041016,2.930048704147339,0.2176520824432373
19,40,2.301109790802002,2.5167951583862305,0.21568536758422852
