query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,-0.7142857142857143,0.0004032525947441225,-0.48506040420207713,0.030175236116703814,20,3.1259796619415283
1,-0.22556390977443608,0.33897093917086674,-0.29630677873522576,0.20461235739928915,20,3.3111376762390137
2,-0.07669172932330826,0.74793344754194,-0.1451164142453972,0.5415715312728545,20,3.180311441421509
3,0.02857142857142857,0.9048224147367736,0.007628480189574016,0.9745364958791835,20,2.6619343757629395
4,-0.3578947368421052,0.1213011281094734,-0.2668283463478031,0.25544322023992005,20,2.5520505905151367
5,-0.09924812030075188,0.6771888443218218,-0.0798026868950332,0.738045606370638,20,3.0823540687561035
6,-0.30075187969924805,0.19757966317255532,-0.2366120411017099,0.3151940817475815,20,2.9665775299072266
7,-0.20751879699248119,0.37999323699324694,-0.052434013217768846,0.8262265960319236,20,2.969621181488037
8,-0.16842105263157892,0.47782867579643046,-0.17838345646131676,0.4517777003649558,20,2.7455496788024902
9,0.4827067669172932,0.03110521686954333,0.3361101940077462,0.147367376170618,20,3.012997627258301
10,-0.14586466165413534,0.5394664944297438,0.012124291906099621,0.9595392713950021,20,3.1667139530181885
11,0.30225563909774433,0.19523758072220296,0.02064769956673701,0.9311465614833946,20,2.8124053478240967
12,0.18796992481203004,0.42742125802266406,0.28399010858281487,0.22495991937808862,20,2.941852569580078
13,0.09323308270676692,0.6958288642370746,0.1825554514051762,0.4410908986722877,20,3.601318597793579
14,-0.5308270676691729,0.01603544437677618,-0.4070210012289409,0.07489768578927271,20,3.462207317352295
15,-0.22556390977443608,0.33897093917086674,-0.14050983530910663,0.554613028965426,20,3.329441547393799
16,-0.06165413533834586,0.7962393511384775,-0.060656865184255324,0.7994703860584045,20,3.710137128829956
17,-0.6165413533834586,0.003789555588157601,-0.47872665089820843,0.03272879430802548,20,3.294914960861206
18,0.022556390977443608,0.9247982163788796,-0.024115202651193213,0.9196168061264949,20,2.6119680404663086
19,-0.4796992481203006,0.03232606920021421,-0.5130414813135032,0.02070437387015417,20,2.2980871200561523
