query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,640,0.20170950889587402,-0.00024614572525024416,0.006394838966143695,100,1
1,640,0.15840816497802734,-0.00019803524017333984,0.0027637659580937997,100,1
2,640,0.1789402961730957,0.0002325105667114258,0.0013584561685709687,100,1
3,640,0.18085765838623047,-0.00030951499938964845,0.005169824356445233,100,1
4,640,0.18523883819580078,-2.8722286224365234e-05,0.0008999027777587221,100,1
5,640,0.16454458236694336,8.72039794921875e-05,0.00387265924712441,100,1
6,640,0.12859392166137695,-0.00044913530349731444,0.0032606591317452947,100,1
