query,n_removed,baseline_loss,filtered_loss,loss_change
0,80,3.4363067150115967,3.457758665084839,0.021451950073242188
1,80,3.5646183490753174,3.588533639907837,0.02391529083251953
2,80,3.464975118637085,3.4915871620178223,0.026612043380737305
3,80,3.0338845252990723,3.0605452060699463,0.026660680770874023
4,80,2.8682241439819336,2.887141227722168,0.018917083740234375
5,80,3.4136064052581787,3.442150592803955,0.028544187545776367
6,80,3.363077163696289,3.39296817779541,0.029891014099121094
7,80,3.364659070968628,3.3966877460479736,0.0320286750793457
8,80,3.1021382808685303,3.125500202178955,0.023361921310424805
9,80,3.3000171184539795,3.324983596801758,0.02496647834777832
10,80,3.517808198928833,3.540811777114868,0.023003578186035156
11,80,3.2561492919921875,3.290847063064575,0.034697771072387695
12,80,3.4145238399505615,3.43485689163208,0.020333051681518555
13,80,3.880302667617798,3.9066452980041504,0.02634263038635254
14,80,3.653571844100952,3.6746044158935547,0.02103257179260254
15,80,3.5718142986297607,3.5947537422180176,0.022939443588256836
16,80,3.970200538635254,3.9883384704589844,0.01813793182373047
17,80,3.716688871383667,3.8785765171051025,0.16188764572143555
18,80,2.9036471843719482,2.9372482299804688,0.03360104560852051
19,80,2.5127975940704346,2.552370071411133,0.03957247734069824
