query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,80,0.0008940696716308594,-0.00012145280838012696,0.0010453354718232052,100,13
1,80,0.0005826950073242188,-0.00028699398040771485,0.0009042187924503893,100,18
2,80,0.00044608116149902344,-2.7265548706054687e-05,0.0012553257073440157,100,36
3,80,-0.00038361549377441406,-0.00015801429748535156,0.0009516408245904929,100,64
4,80,0.0011036396026611328,-0.0001386117935180664,0.0012117289072139084,100,14
5,80,4.863739013671875e-05,-0.0004964685440063477,0.001234469309157312,100,35
6,80,0.0033617019653320312,-7.540702819824218e-05,0.0010040363874471863,100,1
7,80,0.004530191421508789,-0.0002243804931640625,0.0012708710279892644,100,1
8,80,0.0026311874389648438,-0.0004664802551269531,0.001155041859091887,100,1
9,80,0.003789663314819336,-0.00017922163009643556,0.0010048837786461302,100,1
10,80,-0.0014007091522216797,8.020401000976562e-05,0.0011194911217338272,100,92
11,80,0.0020630359649658203,-0.00027273893356323243,0.0014099602556622165,100,6
12,80,0.0010294914245605469,-0.0004277968406677246,0.000907614625606445,100,5
13,80,0.0009005069732666016,0.0005625009536743164,0.0015133833077999178,100,40
14,80,0.00033092498779296875,-0.00022975921630859374,0.0009672912096472646,100,31
15,80,0.001478433609008789,-0.0001630377769470215,0.001819283320856632,100,5
16,80,0.0003981590270996094,-9.127140045166015e-05,0.0009986561321074928,100,37
17,80,0.005117654800415039,-0.00060211181640625,0.0019555999703275923,100,1
18,80,-0.0004284381866455078,1.2662410736083984e-05,0.0014505408618618826,100,75
19,80,-0.0014917850494384766,-0.0003905320167541504,0.002114517989095387,100,84
