query,n_removed,baseline_loss,filtered_loss,loss_change
0,160,3.412421226501465,3.477152109146118,0.06473088264465332
1,160,3.5449514389038086,3.6075353622436523,0.06258392333984375
2,160,3.4617128372192383,3.5704987049102783,0.10878586769104004
3,160,3.000498056411743,3.093817710876465,0.09331965446472168
4,160,2.8379697799682617,2.9132590293884277,0.07528924942016602
5,160,3.348325729370117,3.434314012527466,0.08598828315734863
6,160,3.339444398880005,3.410466432571411,0.07102203369140625
7,160,3.3506078720092773,3.4490809440612793,0.09847307205200195
8,160,3.0590341091156006,3.1329548358917236,0.07392072677612305
9,160,3.2808926105499268,3.355910539627075,0.07501792907714844
10,160,3.5031912326812744,3.586918592453003,0.08372735977172852
11,160,3.141066789627075,3.250589370727539,0.10952258110046387
12,160,3.3397250175476074,3.428464889526367,0.08873987197875977
13,160,3.805159091949463,3.876340866088867,0.0711817741394043
14,160,3.638681650161743,3.702073335647583,0.06339168548583984
15,160,3.561302661895752,3.644578218460083,0.08327555656433105
16,160,3.9213850498199463,3.9814646244049072,0.06007957458496094
17,160,3.5919101238250732,3.889805316925049,0.2978951930999756
18,160,2.9101085662841797,2.974170446395874,0.06406188011169434
19,160,2.503493309020996,2.5907838344573975,0.08729052543640137
