run,n_queries,ekfac_hi,ekfac_lo,ekfac_mean,magic_hi,magic_lo,magic_mean,random_hi,random_lo,random_mean
london16k_bs256_adamw,20,0.05384114116430283,0.04585127681493759,0.049794912338256836,,,,-0.000507510618583576,-0.000798048530076001,-0.000654729314752527
london16k_bs256_muon,20,0.05323346644639969,0.04444512039422989,0.04886386394500732,,,,0.0007054284915466268,0.00036082332300793493,0.0005361256567994133
plan_adam_eps1e17_128k_bs256,20,0.23241242915391924,0.19090131193399432,0.21286834478378297,,,,0.0001530641317367553,-0.0033412794272104896,-0.001132694880167643
plan_adam_eps1e17_16k_bs128,20,0.0754080131649971,0.03261600852012634,0.04861011505126953,0.105592160820961,0.06524579375982284,0.08072978258132935,0.0005034236482515553,-0.0004264262490687542,2.0530110123218038e-05
plan_adam_eps1e17_16k_bs16,20,0.05897011607885361,0.04205960959196091,0.05013895034790039,0.027145532369613635,0.0044924008846282965,0.014434874057769775,0.0010727887969551374,-0.0003064206938324787,0.00040141738281818107
plan_adam_eps1e17_16k_bs32,20,0.0783419993519783,0.035686031579971314,0.05201650857925415,0.1216875210404396,0.07145615249872207,0.09090176820755005,0.0003100601425921922,0.00011178947945040818,0.0002018108366883098
plan_adam_eps1e17_16k_bs512,20,0.0571013256907463,0.02897468417882919,0.040038108825683594,0.09029236018657684,0.06325049817562103,0.07412989139556884,0.0002328896634321609,0.00010469239424310217,0.00016558909464947646
plan_adam_eps1e17_16k_bs64,20,0.06089034378528595,0.04053915202617645,0.04978322982788086,0.09919890046119688,0.05966707050800324,0.0760871410369873,0.00031361807815528665,0.00011695281520815115,0.00020540797740977723
plan_adam_eps1e17_16k_clip1.0,20,0.08421771019697188,0.037452045977115635,0.05517055988311768,0.11709321409463881,0.07378239899873734,0.09037613868713379,0.00036628708445789437,7.203746493871677e-05,0.00020906007268877146
plan_adam_eps1e17_16k_ep4,20,0.07692384958267212,0.038562175929546354,0.053404593467712404,0.12813546717166902,0.07932809948921203,0.09792500734329224,0.0003653044289512763,0.0001752313656561455,0.00025957227062463063
plan_adam_eps1e17_16k_gpt2-medium,20,0.06496914923191069,0.036487227380275725,0.04807765483856201,0.0006658262014389035,-0.0010957732796669007,-0.00018390417098999024,0.00033715421275701377,-2.0927511668560326e-05,0.0001693489538411086
plan_adam_eps1e17_16k_scale0.25,20,0.05575398027896881,0.03192630857229233,0.043147599697113036,0.004737250506877899,-0.0015068593621253967,0.0013450145721435546,0.0004955338599836519,-0.0003058820925946293,0.00010078954469463496
plan_adam_eps1e17_16k_scale0.5,20,0.04235681474208831,0.014125536680221557,0.02531672716140747,0.09452532976865767,0.06383130639791489,0.07565395832061768,0.00020042716942953118,9.162703968286223e-05,0.0001437097780581098
plan_adam_eps1e17_16k_wd0.0,20,0.07905465483665465,0.03642128437757492,0.052907371520996095,0.11581081062555312,0.07529744625091553,0.09091488122940064,0.00033473339825604846,0.00010948171544214347,0.00021680474546883488
plan_adam_eps1e17_16k_wd0.1,20,0.0792097920179367,0.036314384639263154,0.052958786487579346,0.11553498208522797,0.07529347717761994,0.09083379507064819,0.0003333688768333331,0.00010705102002020795,0.00021650779465289815
plan_adam_eps1e17_256k_bs256,20,0.22646344572305677,0.18910019248723983,0.2080349087715149,,,,0.004072631700464626,-0.0006176700224568777,0.0010945518830340006
plan_adam_eps1e17_32k_bs256,20,0.059849073886871336,0.047643840312957764,0.053525137901306155,0.10520946711301804,0.09100111991167069,0.09777041673660278,0.0002507507457721658,0.00017000473329062516,0.0002105317125824513
plan_adam_eps1e17_32k_bs32,20,0.05579121828079223,0.045215461850166325,0.0503652811050415,,,,0.00045545906434199404,-3.141601981042185e-05,0.00021098057986819186
plan_adam_eps1e17_4k_bs256,20,0.015131687521934507,0.008874781727790833,0.01152585744857788,0.028370864093303676,0.02257452517747879,0.02505112886428833,8.228302422935485e-05,-9.3976168102472e-06,3.720009437984118e-05
plan_adam_eps1e17_64k_bs256,20,0.13489232540130613,0.11081803888082505,0.12307438850402833,0.175837305188179,0.1523044788837433,0.16388522386550902,-3.337285816669464e-05,-0.00035374639928340907,-0.00018585467338562008
plan_adam_eps1e17_64k_bs32,20,0.11472419172525405,0.09397900760173797,0.10445752143859863,,,,-5.667448067242733e-05,-0.00048156857495087026,-0.0002621849364004447
plan_adam_eps1e17_8k_bs256,20,0.04625638276338576,0.01913246750831604,0.02922583818435669,0.08638516008853911,0.05933916687965393,0.070595383644104,0.0002856658210021124,7.07584733481781e-05,0.00018488156747480388
plan_muon_eps1e17_128k_bs256,20,0.1602664467692375,0.13254474103450775,0.147037136554718,,,,0.00024359146753946922,-0.0018726690610249837,-0.0005472779273986817
plan_muon_eps1e17_16k_bs128,20,0.07391840010881422,0.031441122591495514,0.047354626655578616,0.08602576106786729,0.04549915879964828,0.06097124814987183,0.00025599436558536575,8.697454892853785e-05,0.00016385174085371547
plan_muon_eps1e17_16k_bs16,20,0.05690732955932617,0.041243257224559786,0.04874086380004883,0.07635105878114701,0.0600065216422081,0.06771374940872192,0.0017205781999246026,0.0007357541302053505,0.0012119440032620332
plan_muon_eps1e17_16k_bs32,20,0.06896517783403394,0.03468953728675842,0.04800858497619629,0.09414236962795253,0.049764798581600184,0.0666041612625122,0.0003273127198190195,0.0001728964566882496,0.0002472944288456347
plan_muon_eps1e17_16k_bs64,20,0.057728351354599,0.04056426495313644,0.048602509498596194,0.07995852261781691,0.06000028640031815,0.06915947198867797,0.00033365668555006777,0.00013458624203508407,0.0002187486921911841
plan_muon_eps1e17_32k_bs256,20,0.06008829951286316,0.047648118138313295,0.05365074872970581,0.090508514046669,0.07638872623443603,0.0831249475479126,0.00025395271451088774,0.0001446357849999913,0.00019825565941573587
plan_muon_eps1e17_32k_bs32,20,0.05510850101709366,0.04441682130098343,0.04959218502044678,,,,0.00021978745411615816,-0.00031344225223165265,-5.0683817426033785e-05
plan_muon_eps1e17_4k_bs256,20,0.02771738797426223,0.012551584243774413,0.018437540531158446,0.024125335514545435,0.005925357639789582,0.01345440149307251,0.0006291154862447,-0.00013002310540286997,0.0002488006321073044
plan_muon_eps1e17_4k_bs256_lr2e-4,20,0.013893459141254425,0.006632827818393708,0.009426367282867432,,,,0.000313637654858212,-5.40376692015343e-05,0.00012665987196669448
plan_muon_eps1e17_64k_bs256,20,0.13661844581365584,0.11165744364261627,0.12396959066390992,,,,-0.00016574422602388955,-0.0006527154727518792,-0.0004159569787589135
plan_muon_eps1e17_64k_bs32,20,0.11924873054027557,0.09722148299217225,0.10839840173721313,,,,-8.963784004663471e-05,-0.0005060325071190164,-0.00031022628318169156
plan_muon_eps1e17_8k_bs256,20,0.03842373222112655,0.013102383315563201,0.022579312324523926,0.04756464302539825,0.02439887911081314,0.03289487361907959,0.00017794546451341375,7.792895414922895e-05,0.00012419724580468028
sm_adamw_eps1e17_16k_bs256,20,0.0791409596800804,0.03617403507232666,0.05288472175598145,0.11593643993139266,0.07517759561538696,0.09090250730514526,0.0003387632980184207,0.00011973902681347681,0.00022700381487084087
sm_muon_eps1e17_16k_bs256,20,0.07632030606269836,0.03451469659805298,0.05039793252944946,0.09155150324106216,0.05035714089870453,0.06585527658462524,0.0005771248009659758,0.00023528608813649043,0.0004018903950054664
