key,model,queries,logit_scale,query,loss
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,6,3.378819704055786
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,7,3.3489480018615723
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,8,3.088864326477051
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,9,3.331435203552246
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,10,3.523815870285034
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,11,3.680887222290039
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,12,3.5148611068725586
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,13,3.8257763385772705
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,14,3.6531975269317627
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,15,3.566385507583618
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,16,4.056456089019775
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,17,3.9898104667663574
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,18,2.9335527420043945
gpt2/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,1.0,19,2.483053684234619
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,0,7.777795791625977
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,1,7.760236740112305
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,2,7.6520586013793945
