log,phase,seconds,iters,passes
_logs/bm25_top40_8k_q0_2_resume_bellflower-0.log,filter-proponents,589,2,1
_logs/bm25_top40_8k_q10_12_resume_tulip-0.log,Training,291,63,1
_logs/bm25_top40_8k_q10_12_resume_tulip-0.log,filter-proponents,587,2,1
_logs/bm25_top40_8k_q12_14_resume_tulip-0.log,Training,293,63,1
_logs/bm25_top40_8k_q12_14_resume_tulip-0.log,filter-proponents,589,2,1
_logs/bm25_top40_8k_q14_16_resume_tulip-0.log,Training,287,63,1
_logs/bm25_top40_8k_q14_16_resume_tulip-0.log,filter-proponents,579,2,1
_logs/bm25_top40_8k_q16_18_resume_violet-0.log,Training,290,63,1
_logs/bm25_top40_8k_q16_18_resume_violet-0.log,filter-proponents,585,2,1
_logs/bm25_top40_8k_q18_20_resume_violet-0.log,Training,293,63,1
_logs/bm25_top40_8k_q18_20_resume_violet-0.log,filter-proponents,591,2,1
_logs/bm25_top40_8k_q2_4_rerun2_wisteria-0.log,Training,291,63,1
_logs/bm25_top40_8k_q2_4_rerun2_wisteria-0.log,filter-proponents,587,2,1
_logs/bm25_top40_8k_q2_4_resume_bellflower-0.log,Training,289,63,1
_logs/bm25_top40_8k_q2_4_resume_bellflower-0.log,filter-proponents,583,2,1
_logs/bm25_top40_8k_q4_6_rerun2_wisteria-0.log,Training,291,63,1
_logs/bm25_top40_8k_q4_6_rerun2_wisteria-0.log,filter-proponents,586,2,1
_logs/bm25_top40_8k_q4_6_resume_bellflower-0.log,Training,289,63,1
_logs/bm25_top40_8k_q4_6_resume_bellflower-0.log,filter-proponents,581,2,1
_logs/bm25_top40_8k_q6_8_rerun2_wisteria-0.log,Training,288,63,1
_logs/bm25_top40_8k_q6_8_rerun2_wisteria-0.log,filter-proponents,581,2,1
_logs/bm25_top40_8k_q6_8_resume_bellflower-0.log,Training,293,63,1
_logs/bm25_top40_8k_q6_8_resume_bellflower-0.log,filter-proponents,577,2,1
_logs/bm25_top40_8k_q8_10_resume_tulip-0.log,Training,289,63,1
_logs/bm25_top40_8k_q8_10_resume_tulip-0.log,filter-proponents,581,2,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q0_2.log,Training,4479,1000,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q0_2.log,filter-proponents,8952,2,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q10_12.log,Training,4442,1000,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q10_12.log,filter-proponents,8886,2,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q12_14.log,Training,4411,1000,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q12_14.log,filter-proponents,8824,2,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q14_16.log,Training,4453,1000,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q14_16.log,filter-proponents,8908,2,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q16_18.log,Training,4404,1000,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q16_18.log,filter-proponents,8811,2,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q18_20.log,Training,4421,1000,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q18_20.log,filter-proponents,8850,2,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q2_4.log,Training,4442,1000,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q2_4.log,filter-proponents,8872,2,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q4_6.log,Training,4419,1000,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q4_6.log,filter-proponents,8840,2,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q6_8.log,Training,4402,1000,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q6_8.log,filter-proponents,8804,2,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q8_10.log,Training,4436,1000,1
_logs/bm25_top40_plan_adam_eps1e17_128k_bs256_q8_10.log,filter-proponents,8873,2,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q0_2.log,Training,8781,2000,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q0_2.log,filter-proponents,17550,2,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q10_12.log,Training,8972,2000,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q10_12.log,filter-proponents,17935,2,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q12_14.log,Training,9489,2000,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q12_14.log,filter-proponents,18964,2,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q14_16.log,Training,8975,2000,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q14_16.log,filter-proponents,17935,2,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q16_18.log,Training,8947,2000,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q16_18.log,filter-proponents,17891,2,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q18_20.log,Training,9093,2000,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q18_20.log,filter-proponents,18173,2,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q2_4.log,Training,8894,2000,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q2_4.log,filter-proponents,17785,2,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q4_6.log,Training,8869,2000,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q4_6.log,filter-proponents,17733,2,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q6_8.log,Training,8949,2000,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q6_8.log,filter-proponents,17888,2,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q8_10.log,Training,8837,2000,1
_logs/bm25_top40_plan_adam_eps1e17_256k_bs256_q8_10.log,filter-proponents,17662,2,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q0_2.log,Training,1109,250,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q0_2.log,filter-proponents,2219,2,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q10_12.log,Training,1116,250,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q10_12.log,filter-proponents,2236,2,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q12_14.log,Training,1106,250,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q12_14.log,filter-proponents,2215,2,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q14_16.log,Training,1119,250,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q14_16.log,filter-proponents,2241,2,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q16_18.log,Training,1122,250,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q16_18.log,filter-proponents,2247,2,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q18_20.log,Training,1100,250,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q18_20.log,filter-proponents,2203,2,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q2_4.log,Training,1103,250,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q2_4.log,filter-proponents,2209,2,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q4_6.log,Training,1102,250,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q4_6.log,filter-proponents,2206,2,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q6_8.log,Training,1131,250,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q6_8.log,filter-proponents,2265,2,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q8_10.log,Training,1107,250,1
_logs/bm25_top40_plan_adam_eps1e17_32k_bs256_q8_10.log,filter-proponents,2064,2,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q0_2.log,Training,2224,500,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q0_2.log,filter-proponents,4448,2,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q10_12.log,Training,2208,500,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q10_12.log,filter-proponents,4424,2,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q12_14.log,Training,2210,500,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q12_14.log,filter-proponents,4424,2,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q14_16.log,Training,2226,500,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q14_16.log,filter-proponents,4449,2,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q16_18.log,Training,2228,500,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q16_18.log,filter-proponents,4460,2,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q18_20.log,Training,2252,500,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q18_20.log,filter-proponents,4507,2,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q2_4.log,Training,2209,500,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q2_4.log,filter-proponents,4418,2,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q4_6.log,Training,2198,500,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q4_6.log,filter-proponents,4396,2,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q6_8.log,Training,2216,500,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q6_8.log,filter-proponents,4432,2,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q8_10.log,Training,2198,500,1
_logs/bm25_top40_plan_adam_eps1e17_64k_bs256_q8_10.log,filter-proponents,4397,2,1
_logs/bm25_top40_plan_adam_eps1e17_8k_bs256_q0_2.log,Training,289,63,1
_logs/bm25_top40_plan_adam_eps1e17_8k_bs256_q10_12.log,Training,292,63,1
_logs/bm25_top40_plan_adam_eps1e17_8k_bs256_q12_14.log,Training,292,63,1
_logs/bm25_top40_plan_adam_eps1e17_8k_bs256_q14_16.log,Training,297,63,1
_logs/bm25_top40_plan_adam_eps1e17_8k_bs256_q16_18.log,Training,293,63,1
_logs/bm25_top40_plan_adam_eps1e17_8k_bs256_q18_20.log,Training,292,63,1
_logs/bm25_top40_plan_adam_eps1e17_8k_bs256_q2_4.log,Training,292,63,1
_logs/bm25_top40_plan_adam_eps1e17_8k_bs256_q4_6.log,Training,289,63,1
_logs/bm25_top40_plan_adam_eps1e17_8k_bs256_q6_8.log,Training,292,63,1
_logs/bm25_top40_plan_adam_eps1e17_8k_bs256_q8_10.log,Training,310,63,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q0_2.log,Training,554,125,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q0_2.log,filter-proponents,1111,2,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q10_12.log,Training,561,125,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q10_12.log,filter-proponents,1125,2,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q12_14.log,Training,560,125,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q12_14.log,filter-proponents,1122,2,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q14_16.log,Training,569,125,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q14_16.log,filter-proponents,1140,2,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q16_18.log,Training,559,125,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q16_18.log,filter-proponents,1122,2,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q18_20.log,Training,555,125,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q18_20.log,filter-proponents,1114,2,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q2_4.log,Training,558,125,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q2_4.log,filter-proponents,1120,2,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q4_6.log,Training,553,125,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q4_6.log,filter-proponents,1106,2,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q6_8.log,Training,561,125,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q6_8.log,filter-proponents,1123,2,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q8_10.log,Training,593,125,1
_logs/bm25_top40_sm_adamw_eps1e17_16k_bs256_q8_10.log,filter-proponents,1191,2,1
_logs/bs512_ekfac.log,Computing Approximating Hessians with kfac,862,8000,1
_logs/bs512_ekfac.log,Computing Approximating Hessians with kfac (eigenvalue correction),1568,8000,1
_logs/bs512_ekfac.log,Computing New worker - Collecting gradients,759,8010,2
_logs/bs512_filter.log,Training,484,63,1
_logs/bs512_filter.log,filter-proponents,9742,20,1
_logs/bs512_filter.log,random,1461,3,1
_logs/ekfac_512k_bs256.log,Computing Approximating Hessians with kfac,14737,128000,1
_logs/ekfac_512k_bs256.log,Computing Approximating Hessians with kfac (eigenvalue correction),35828,128000,1
_logs/ekfac_512k_bs256.log,Computing New worker - Collecting gradients,18736,256005,3
_logs/fmagic128_q0_2.log,Evaluating bank,58,3,1
_logs/fmagic128_q0_2.log,Training,4430,1000,1
_logs/fmagic128_q0_2.log,filter-proponents,8856,2,1
_logs/fmagic128_q10_12.log,Evaluating bank,5,3,1
_logs/fmagic128_q10_12.log,Training,4430,1000,1
_logs/fmagic128_q10_12.log,filter-proponents,8854,2,1
_logs/fmagic128_q12_14.log,Evaluating bank,15,3,1
_logs/fmagic128_q12_14.log,Training,4421,1000,1
_logs/fmagic128_q12_14.log,filter-proponents,8838,2,1
_logs/fmagic128_q14_16.log,Evaluating bank,59,3,1
_logs/fmagic128_q14_16.log,Training,4399,1000,1
_logs/fmagic128_q14_16.log,filter-proponents,8796,2,1
_logs/fmagic128_q16_18.log,Evaluating bank,6,3,1
_logs/fmagic128_q16_18.log,Training,4517,1000,1
_logs/fmagic128_q16_18.log,filter-proponents,9032,2,1
_logs/fmagic128_q18_20.log,Evaluating bank,6,3,1
_logs/fmagic128_q18_20.log,Training,4420,1000,1
_logs/fmagic128_q18_20.log,filter-proponents,8249,2,1
_logs/fmagic128_q2_4.log,Evaluating bank,5,3,1
_logs/fmagic128_q2_4.log,Training,4467,1000,1
_logs/fmagic128_q2_4.log,filter-proponents,8927,2,1
_logs/fmagic128_q4_6.log,Evaluating bank,58,3,1
_logs/fmagic128_q4_6.log,Training,4426,1000,1
_logs/fmagic128_q4_6.log,filter-proponents,8840,2,1
_logs/fmagic128_q6_8.log,Evaluating bank,5,3,1
_logs/fmagic128_q6_8.log,Training,4477,1000,1
_logs/fmagic128_q6_8.log,filter-proponents,8953,2,1
_logs/fmagic128_q8_10.log,Evaluating bank,5,3,1
_logs/fmagic128_q8_10.log,Training,4498,1000,1
_logs/fmagic128_q8_10.log,filter-proponents,8993,2,1
_logs/fsdp_smoketest.log,Backward,41,2,2
_logs/fsdp_smoketest.log,Training,154,32,1
_logs/gptmed_filter.log,Training,1659,1000,1
_logs/gptmed_filter.log,filter-proponents,33146,20,1
_logs/heldout128k_1pct_q0_5.log,Training,9026,2000,2
_logs/heldout128k_1pct_q0_5.log,filter-proponents,44427,10,2
_logs/heldout128k_1pct_q0_5.log,random,39937,9,3
_logs/heldout128k_1pct_q10_15.log,Training,4372,1000,1
_logs/heldout128k_1pct_q10_15.log,filter-proponents,21883,5,1
_logs/heldout128k_1pct_q10_15.log,random,13143,3,1
_logs/heldout128k_1pct_q15_20.log,Training,4469,1000,1
_logs/heldout128k_1pct_q15_20.log,filter-proponents,22306,5,1
_logs/heldout128k_1pct_q15_20.log,random,13337,3,1
_logs/heldout128k_1pct_q5_10.log,Training,4437,1000,1
_logs/heldout128k_1pct_q5_10.log,filter-proponents,22201,5,1
_logs/heldout128k_1pct_q5_10.log,random,13332,3,1
_logs/heldout128k_filter1pct.log,Training,4436,1000,1
_logs/heldout128k_top40.log,Training,4420,1000,1
_logs/heldout128k_top40_q0_5.log,Training,4404,1000,1
_logs/heldout128k_top40_q10_15.log,Training,4411,1000,1
_logs/heldout128k_top40_q15_20.log,Training,4429,1000,1
_logs/heldout128k_top40_q5_10.log,Training,4389,1000,1
_logs/heldout16k_1pct.log,Training,551,125,1
_logs/heldout16k_1pct.log,filter-proponents,11048,20,1
_logs/heldout16k_1pct.log,random,1655,3,1
_logs/heldout16k_ekfac.log,Computing New worker - Collecting gradients,367,4005,2
_logs/heldout16k_top40.log,Training,565,125,1
_logs/heldout16k_top40.log,filter-proponents,11342,20,1
_logs/heldout16k_top40.log,random,1700,3,1
_logs/heldout256k_1pct_q0_2.log,Training,9035,2000,1
_logs/heldout256k_1pct_q0_5.log,Training,26776,6000,3
_logs/heldout256k_1pct_q0_5.log,filter-proponents,44733,5,1
_logs/heldout256k_1pct_q10_12.log,Training,8875,2000,1
_logs/heldout256k_1pct_q10_15.log,Training,26626,6000,3
_logs/heldout256k_1pct_q10_15.log,filter-proponents,44387,5,1
_logs/heldout256k_1pct_q12_14.log,Training,8772,2000,1
_logs/heldout256k_1pct_q14_16.log,Training,8945,2000,1
_logs/heldout256k_1pct_q15_20.log,Training,26639,6000,3
_logs/heldout256k_1pct_q15_20.log,filter-proponents,44250,5,1
_logs/heldout256k_1pct_q16_18.log,Training,8882,2000,1
_logs/heldout256k_1pct_q18_20.log,Training,8883,2000,1
_logs/heldout256k_1pct_q2_4.log,Training,8911,2000,1
_logs/heldout256k_1pct_q4_6.log,Training,8878,2000,1
_logs/heldout256k_1pct_q5_10.log,Training,26714,6000,3
_logs/heldout256k_1pct_q5_10.log,filter-proponents,44478,5,1
_logs/heldout256k_1pct_q6_8.log,Training,8834,2000,1
_logs/heldout256k_1pct_q8_10.log,Training,8872,2000,1
_logs/heldout256k_top40_q0_5.log,Evaluating bank,5,3,1
_logs/heldout256k_top40_q0_5.log,Training,26722,6000,3
_logs/heldout256k_top40_q0_5.log,filter-proponents,62542,10,2
_logs/heldout256k_top40_q10_15.log,Evaluating bank,65,3,1
_logs/heldout256k_top40_q10_15.log,Training,17764,4000,2
_logs/heldout256k_top40_q10_15.log,filter-proponents,62002,10,2
_logs/heldout256k_top40_q15_20.log,Evaluating bank,66,3,1
_logs/heldout256k_top40_q15_20.log,Training,18152,4000,2
_logs/heldout256k_top40_q15_20.log,filter-proponents,88146,10,2
_logs/heldout256k_top40_q5_10.log,Evaluating bank,5,3,1
_logs/heldout256k_top40_q5_10.log,Training,26584,6000,3
_logs/heldout256k_top40_q5_10.log,filter-proponents,62001,10,2
_logs/heldout32k_1pct_q0_5.log,Training,1122,250,1
_logs/heldout32k_1pct_q0_5.log,filter-proponents,5615,5,1
_logs/heldout32k_1pct_q0_5.log,random,3367,3,1
_logs/heldout32k_1pct_q10_15.log,Training,1136,250,1
_logs/heldout32k_1pct_q10_15.log,filter-proponents,5689,5,1
_logs/heldout32k_1pct_q10_15.log,random,3413,3,1
_logs/heldout32k_1pct_q15_20.log,Training,1118,250,1
_logs/heldout32k_1pct_q15_20.log,filter-proponents,5600,5,1
_logs/heldout32k_1pct_q15_20.log,random,3359,3,1
_logs/heldout32k_1pct_q5_10.log,Training,1117,250,1
_logs/heldout32k_1pct_q5_10.log,filter-proponents,5594,5,1
_logs/heldout32k_1pct_q5_10.log,random,3356,3,1
_logs/heldout32k_ekfac.log,Computing New worker - Collecting gradients,1424,16005,3
_logs/heldout32k_top40_q0_5.log,Training,1110,250,1
_logs/heldout32k_top40_q0_5.log,filter-proponents,5558,5,1
_logs/heldout32k_top40_q0_5.log,random,6667,6,2
_logs/heldout32k_top40_q10_15.log,Training,1095,250,1
_logs/heldout32k_top40_q10_15.log,filter-proponents,5483,5,1
_logs/heldout32k_top40_q10_15.log,random,6577,6,2
_logs/heldout32k_top40_q15_20.log,Training,1107,250,1
_logs/heldout32k_top40_q15_20.log,filter-proponents,5547,5,1
_logs/heldout32k_top40_q15_20.log,random,3326,3,1
_logs/heldout32k_top40_q5_10.log,Training,1107,250,1
_logs/heldout32k_top40_q5_10.log,filter-proponents,5547,5,1
_logs/heldout32k_top40_q5_10.log,random,3327,3,1
_logs/heldout4k_1pct.log,Training,142,32,1
_logs/heldout4k_1pct.log,filter-proponents,2883,20,1
_logs/heldout4k_1pct.log,random,432,3,1
_logs/heldout4k_ekfac.log,Computing New worker - Collecting gradients,150,1010,3
_logs/heldout512k_filter1pct.log,Training,17716,4000,1
_logs/heldout64k_bm25_q0_5.log,Training,2216,500,1
_logs/heldout64k_bm25_q10_15.log,Training,2194,500,1
_logs/heldout64k_bm25_q15_20.log,Training,2210,500,1
_logs/heldout64k_bm25_q5_10.log,Training,2207,500,1
_logs/heldout64k_filter1pct.log,Training,2211,500,1
_logs/heldout64k_filter1pct.log,filter-proponents,44282,20,1
_logs/heldout64k_filter1pct.log,random,6649,3,1
_logs/heldout64k_top40.log,Training,2211,500,1
_logs/heldout64k_top40.log,filter-proponents,44248,20,1
_logs/heldout64k_top40.log,random,6641,3,1
_logs/heldout8k_1pct.log,Training,288,63,1
_logs/heldout8k_1pct.log,filter-proponents,5821,20,1
_logs/heldout8k_1pct.log,random,873,3,1
_logs/heldout8k_ekfac.log,Computing New worker - Collecting gradients,368,4005,3
_logs/heldout8k_top40.log,Training,290,63,1
_logs/heldout8k_top40.log,filter-proponents,5871,20,1
_logs/heldout8k_top40.log,random,880,3,1
_logs/heldout_ekfac_128k.log,Computing New worker - Collecting gradients,5662,64008,12
_logs/heldout_ekfac_256k.log,Computing New worker - Collecting gradients,9891,112010,12
_logs/heldout_ekfac_512k.log,Computing New worker - Collecting gradients,22317,256005,3
_logs/heldout_ekfac_64k.log,Computing New worker - Collecting gradients,2813,32005,3
_logs/heldout_muon128k_ekfac.log,Computing New worker - Collecting gradients,2413,32012,10
_logs/heldout_muon256k_ekfac.log,Computing New worker - Collecting gradients,17,5,1
_logs/heldout_muon64k_ekfac.log,Computing New worker - Collecting gradients,2849,32005,3
_logs/jina16k_1pct.log,Training,557,125,1
_logs/jina16k_1pct.log,filter-proponents,11183,20,1
_logs/jina16k_1pct.log,random,1677,3,1
_logs/jina16k_top40.log,Training,553,125,1
_logs/jina16k_top40.log,filter-proponents,11111,20,1
_logs/jina16k_top40.log,random,1667,3,1
_logs/london_adamw_filter.log,Training,549,125,1
_logs/london_adamw_filter.log,filter-proponents,11009,20,1
_logs/london_muon_filter.log,Evaluating bank,239,100,1
_logs/london_muon_filter.log,Training,575,125,1
_logs/london_muon_filter.log,filter-proponents,11537,20,1
_logs/magic128_canary_q2_4.log,Training,5,1,1
_logs/magic128_full_scores.log,Training,5,1,1
_logs/magic128_iso2_q0_2.log,Training,5,1,1
_logs/magic128_iso2_q4_6.log,Training,5,1,1
_logs/magic128_iso2_q6_8.log,Training,5,1,1
_logs/magic128_iso_q0_2.log,Training,5,1,1
_logs/magic128_iso_q2_4.log,Training,5,1,1
_logs/magic128_iso_q4_6.log,Training,5,1,1
_logs/magic128_iso_q6_8.log,Training,5,1,1
_logs/magic128_q0_2.log,Training,5,1,1
_logs/magic128_q10_12.log,Training,5,1,1
_logs/magic128_q12_14.log,Training,5,1,1
_logs/magic128_q14_16.log,Training,5,1,1
_logs/magic128_q16_18.log,Training,5,1,1
_logs/magic128_q18_20.log,Training,5,1,1
_logs/magic128_q2_4.log,Training,5,1,1
_logs/magic128_q4_6.log,Training,5,1,1
_logs/magic128_q6_8.log,Training,5,1,1
_logs/magic128_q8_10.log,Training,5,1,1
_logs/magic128_retry_q0_2.log,Training,5,1,1
_logs/magic128_retry_q10_12.log,Training,5,1,1
_logs/magic128_retry_q12_14.log,Training,5,1,1
_logs/magic128_retry_q14_16.log,Training,5,1,1
_logs/magic128_retry_q16_18.log,Training,5,1,1
_logs/magic128_retry_q18_20.log,Training,5,1,1
_logs/magic128_retry_q2_4.log,Training,5,1,1
_logs/magic128_retry_q4_6.log,Training,5,1,1
_logs/magic128_retry_q6_8.log,Training,5,1,1
_logs/magic128_retry_q8_10.log,Training,5,1,1
_logs/magic128fix_q0_2.log,Training,5,1,1
_logs/magic128fix_q18_20.log,Training,5,1,1
_logs/magic128k_canary_q18_20_20260901T021318Z.log,Training,4,1,1
_logs/magic128k_q10_12.log,Training,5,1,1
_logs/magic128k_q12_14.log,Training,5,1,1
_logs/magic128k_q14_16.log,Training,5,1,1
_logs/magic128k_q16_18.log,Training,5,1,1
_logs/magic128k_q18_20.log,Training,5,1,1
_logs/magic128k_q2_4.log,Training,5,1,1
_logs/magic128k_q4_6.log,Training,5,1,1
_logs/magic128k_q6_8.log,Training,5,1,1
_logs/magic128k_q8_10.log,Training,5,1,1
_logs/magic128k_repair_forward_20260901T020804Z.log,Training,9,2,1
_logs/magic128k_rerun3_q0_2_20260901T021623Z.log,Training,4,1,1
_logs/magic128k_rerun3_q10_12_20260901T021647Z.log,Training,4,1,1
_logs/magic128k_rerun3_q12_14_20260901T021652Z.log,Training,4,1,1
_logs/magic128k_rerun3_q14_16_20260901T021657Z.log,Training,4,1,1
_logs/magic128k_rerun3_q16_18_20260901T021702Z.log,Training,4,1,1
_logs/magic128k_rerun3_q2_4_20260901T021629Z.log,Training,4,1,1
_logs/magic128k_rerun3_q4_6_20260901T021634Z.log,Training,4,1,1
_logs/magic128k_rerun3_q6_8_20260901T021638Z.log,Training,4,1,1
_logs/magic128k_rerun3_q8_10_20260901T021642Z.log,Training,4,1,1
_logs/magic128k_rerun4_q0_2_20260901T035140Z.log,Training,4,1,1
_logs/magic128k_rerun4_q18_20_20260901T035135Z.log,Training,4,1,1
_logs/magic128k_rerun_q0_2_20260901T015634Z.log,Training,5,1,1
_logs/magic128k_rerun_q2_4_20260901T015640Z.log,Training,5,1,1
_logs/magic128k_rerun_q4_6_20260901T015644Z.log,Training,5,1,1
_logs/magic128k_rerun_q6_8_20260901T015649Z.log,Training,5,1,1
_logs/magic128k_scores2.log,Training,4401,1000,1
_logs/magic256_q0_2.log,Training,5,1,1
_logs/magic256_q10_12_priv.log,Training,5,1,1
_logs/magic256_q12_14_priv.log,Training,5,1,1
_logs/magic256_q14_16_priv.log,Training,6,1,1
_logs/magic256_q16_18_priv.log,Training,5,1,1
_logs/magic256_q18_20.log,Training,5,1,1
_logs/magic256_q18_20_retry.log,Training,5,1,1
_logs/magic256_q19_20.log,Training,5,1,1
_logs/magic256_q1_2.log,Training,5,1,1
_logs/magic256_q2_4_priv.log,Training,5,1,1
_logs/magic256_q4_6_priv.log,Training,5,1,1
_logs/magic256_q6_8_priv.log,Training,6,1,1
_logs/magic256_q8_10_priv.log,Training,5,1,1
_logs/magic256_trajectory.log,Training,4416,1000,1
_logs/magic256fix_q0_2.log,Training,9,1,1
_logs/magic256fix_q10_12.log,Training,9,1,1
_logs/magic256fix_q11_12.log,Training,9,1,1
_logs/magic256fix_q12_14.log,Training,9,1,1
_logs/magic256fix_q13_14.log,Training,9,1,1
_logs/magic256fix_q14_16.log,Training,9,1,1
_logs/magic256fix_q15_16.log,Training,9,1,1
_logs/magic256fix_q16_18.log,Training,9,1,1
_logs/magic256fix_q17_18.log,Training,9,1,1
_logs/magic256fix_q18_20.log,Training,9,1,1
_logs/magic256fix_q19_20.log,Training,9,1,1
_logs/magic256fix_q2_4.log,Training,9,1,1
_logs/magic256fix_q3_4.log,Training,9,1,1
_logs/magic256fix_q4_6.log,Training,9,1,1
_logs/magic256fix_q5_6.log,Training,9,1,1
