log,phase,seconds,iters,passes
_logs/bank64kbs32_70_75.log,Validating,12584,5,1
_logs/bank64kbs32_75_80.log,Training,2522,4000,1
_logs/bank64kbs32_75_80.log,Validating,12611,5,1
_logs/bank64kbs32_80_85.log,Training,2518,4000,1
_logs/bank64kbs32_80_85.log,Validating,12591,5,1
_logs/bank64kbs32_85_90.log,Training,2498,4000,1
_logs/bank64kbs32_85_90.log,Validating,12496,5,1
_logs/bank64kbs32_90_95.log,Training,2500,4000,1
_logs/bank64kbs32_90_95.log,Validating,12506,5,1
_logs/bank64kbs32_95_100.log,Training,2539,4000,1
_logs/bank64kbs32_95_100.log,Validating,12752,5,1
_logs/bank_512_top1_relaunch2.log,Training,15175,4000,1
_logs/bank_512_top1_relaunch2.log,Validating,45486,3,1
_logs/bank_top40_128k.log,Training,4418,1000,1
_logs/bank_top40_128k.log,Validating,13291,3,1
_logs/bank_top40_256k.log,Training,8834,2000,1
_logs/bank_top40_256k.log,Validating,26518,3,1
_logs/bank_top40_s0.log,Training,4406,1000,1
_logs/bank_top40_s0.log,Validating,4412,1,1
_logs/bank_top40_s1.log,Training,4456,1000,1
_logs/bank_top40_s1.log,Validating,4468,1,1
_logs/bank_top40_s2.log,Training,4460,1000,1
_logs/bank_top40_s2.log,Validating,4462,1,1
_logs/bm25_filter_4k.log,Training,142,32,1
_logs/bm25_filter_4k_retry.log,Training,142,32,1
_logs/bm25_filter_4k_retry.log,filter-proponents,2864,20,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q0_2.log,Training,4419,1000,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q0_2.log,filter-proponents,8823,2,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q10_12.log,Training,4419,1000,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q10_12.log,filter-proponents,8842,2,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q12_14.log,Training,4426,1000,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q12_14.log,filter-proponents,8857,2,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q14_16.log,Training,4441,1000,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q14_16.log,filter-proponents,8886,2,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q16_18.log,Training,4383,1000,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q16_18.log,filter-proponents,8769,2,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q18_20.log,Training,4430,1000,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q18_20.log,filter-proponents,8864,2,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q2_4.log,Training,4457,1000,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q2_4.log,filter-proponents,8914,2,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q4_6.log,Training,4433,1000,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q4_6.log,filter-proponents,8870,2,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q6_8.log,Training,4470,1000,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q6_8.log,filter-proponents,8944,2,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q8_10.log,Training,4461,1000,1
_logs/bm25_plan_adam_eps1e17_128k_bs256_q8_10.log,filter-proponents,8924,2,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q0_2.log,Training,7595,2000,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q0_2.log,filter-proponents,15189,2,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q10_12.log,Training,8912,2000,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q10_12.log,filter-proponents,17802,2,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q12_14.log,Training,8870,2000,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q12_14.log,filter-proponents,17727,2,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q14_16.log,Training,8943,2000,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q14_16.log,filter-proponents,17841,2,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q16_18.log,Training,8791,2000,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q16_18.log,filter-proponents,17574,2,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q18_20.log,Training,8869,2000,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q18_20.log,filter-proponents,17725,2,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q2_4.log,Training,7579,2000,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q2_4.log,filter-proponents,15160,2,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q4_6.log,Training,7573,2000,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q4_6.log,filter-proponents,15148,2,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q6_8.log,Training,8904,2000,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q6_8.log,filter-proponents,17793,2,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q8_10.log,Training,8999,2000,1
_logs/bm25_plan_adam_eps1e17_256k_bs256_q8_10.log,filter-proponents,17977,2,1
