run,subset,query,nproc,gpu_a,node_a,python_a,query_loss_diff_a,gpu_b,node_b,python_b,query_loss_diff_b,delta,abs_delta
plan_adam_eps1e17_16k_wd0.0,1,5,2,A40,allium-0,3.11.15,-0.0007021427154541016,A100-SXM4-80GB,lotus-0,3.11.15,-0.0005602836608886719,-0.0001418590545654297,0.0001418590545654297
plan_adam_eps1e17_16k_wd0.0,1,6,2,A40,allium-0,3.11.15,0.0002472400665283203,A100-SXM4-80GB,lotus-0,3.11.15,0.002788066864013672,-0.0025408267974853516,0.0025408267974853516
plan_adam_eps1e17_16k_wd0.0,1,7,2,A40,allium-0,3.11.15,-0.0006206035614013672,A100-SXM4-80GB,lotus-0,3.11.15,0.0001499652862548828,-0.00077056884765625,0.00077056884765625
plan_adam_eps1e17_16k_wd0.0,1,8,2,A40,allium-0,3.11.15,4.982948303222656e-05,A100-SXM4-80GB,lotus-0,3.11.15,0.0007476806640625,-0.0006978511810302734,0.0006978511810302734
plan_adam_eps1e17_16k_wd0.0,1,9,2,A40,allium-0,3.11.15,3.790855407714844e-05,A100-SXM4-80GB,lotus-0,3.11.15,0.0004923343658447266,-0.0004544258117675781,0.0004544258117675781
plan_adam_eps1e17_16k_wd0.0,1,10,2,A40,allium-0,3.11.15,-0.0004494190216064453,A100-SXM4-80GB,lotus-0,3.11.15,-0.0008852481842041016,0.00043582916259765625,0.00043582916259765625
plan_adam_eps1e17_16k_wd0.0,1,11,2,A40,allium-0,3.11.15,-0.00018715858459472656,A100-SXM4-80GB,lotus-0,3.11.15,-0.002637624740600586,0.0024504661560058594,0.0024504661560058594
plan_adam_eps1e17_16k_wd0.0,1,12,2,A40,allium-0,3.11.15,-0.0066225528717041016,A100-SXM4-80GB,lotus-0,3.11.15,-0.0070858001708984375,0.00046324729919433594,0.00046324729919433594
plan_adam_eps1e17_16k_wd0.0,1,13,2,A40,allium-0,3.11.15,-0.0006079673767089844,A100-SXM4-80GB,lotus-0,3.11.15,0.0026564598083496094,-0.0032644271850585938,0.0032644271850585938
plan_adam_eps1e17_16k_wd0.0,1,14,2,A40,allium-0,3.11.15,-0.0013511180877685547,A100-SXM4-80GB,lotus-0,3.11.15,-0.003770589828491211,0.0024194717407226562,0.0024194717407226562
plan_adam_eps1e17_16k_wd0.0,1,15,2,A40,allium-0,3.11.15,0.0009582042694091797,A100-SXM4-80GB,lotus-0,3.11.15,0.0005564689636230469,0.0004017353057861328,0.0004017353057861328
