run_id,campaign,bank_subsets,retrains
gpt2medium_16k_bs32,,65,
london16k_bs256_adamw,,74,
london16k_bs256_muon,,100,
plan_adam_eps1e17_128k_bs256,,0,
plan_adam_eps1e17_128k_bs32,,0,
plan_adam_eps1e17_16k_bs128,,100,
plan_adam_eps1e17_16k_bs16,,100,
plan_adam_eps1e17_16k_bs32,,100,
plan_adam_eps1e17_16k_bs512,,100,
plan_adam_eps1e17_16k_bs64,,100,
plan_adam_eps1e17_16k_clip1.0,,100,
plan_adam_eps1e17_16k_ep4,,100,
plan_adam_eps1e17_16k_gpt2-medium,,100,
plan_adam_eps1e17_16k_scale0.25,,100,
plan_adam_eps1e17_16k_scale0.5,,100,
plan_adam_eps1e17_16k_wd0.0,,100,
plan_adam_eps1e17_16k_wd0.1,,100,
plan_adam_eps1e17_256k_bs256,,0,
plan_adam_eps1e17_32k_bs256,,100,
plan_adam_eps1e17_32k_bs32,,0,
plan_adam_eps1e17_4k_bs256,,100,
plan_adam_eps1e17_512k_bs256,,0,
plan_adam_eps1e17_64k_bs256,,4,
plan_adam_eps1e17_64k_bs32,,0,
plan_adam_eps1e17_8k_bs256,,100,
plan_muon_eps1e17_128k_bs256,,0,
plan_muon_eps1e17_128k_bs32,,0,
plan_muon_eps1e17_16k_bs128,,100,
plan_muon_eps1e17_16k_bs16,,100,
plan_muon_eps1e17_16k_bs32,,100,
plan_muon_eps1e17_16k_bs512,,0,
plan_muon_eps1e17_16k_bs64,,100,
plan_muon_eps1e17_256k_bs256,,0,
plan_muon_eps1e17_32k_bs256,,100,
plan_muon_eps1e17_32k_bs32,,0,
plan_muon_eps1e17_4k_bs256,,100,
plan_muon_eps1e17_4k_bs256_lr2e-4,,0,
plan_muon_eps1e17_64k_bs256,,57,
plan_muon_eps1e17_64k_bs32,,0,
plan_muon_eps1e17_8k_bs256,,100,
qwen15b_16k_bs256,,0,
qwen15b_32k_bs256,,0,
qwen15b_4k_bs256,,0,
qwen15b_8k_bs256,,0,
sm_adamw_eps1e17_16k_bs256,,100,
sm_adamw_eps1e17_16k_bs256_s43,,0,
sm_muon_eps1e17_16k_bs256,,100,
gpt2medium_16k_bs32,filter_proponents_ekfac,,20
london16k_bs256_adamw,filter_proponents_ekfac,,20
london16k_bs256_muon,filter_proponents_ekfac,,20
plan_adam_eps1e17_128k_bs256,filter_proponents_bm25,,20
plan_adam_eps1e17_128k_bs256,filter_proponents_ekfac,,20
plan_adam_eps1e17_128k_bs256,filter_proponents_ekfac_heldout,,18
plan_adam_eps1e17_128k_bs256,filter_proponents_magic,,20
plan_adam_eps1e17_128k_bs256,filter_top40_bm25,,20
plan_adam_eps1e17_128k_bs256,filter_top40_ekfac,,20
plan_adam_eps1e17_128k_bs256,filter_top40_ekfac_heldout,,8
plan_adam_eps1e17_128k_bs32,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_bs128,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_bs128,filter_proponents_magic,,20
plan_adam_eps1e17_16k_bs16,filter_proponents_ekfac,,20
