n,rule,method,qset,query,qld,ctrl_sd,ctrl_n
4000,top1%,ekfac,held-out,13,0.007655700028408319,0.0002587319759186357,3
4000,top1%,ekfac,held-out,14,0.006534655884024687,0.0010560133960098028,3
4000,top1%,ekfac,held-out,15,0.02375316619873047,0.0006328398012556136,3
4000,top1%,ekfac,held-out,16,0.006364266067976132,0.0006163591169752181,3
4000,top1%,ekfac,held-out,17,0.01089469591533998,0.00021116973948664963,3
4000,top1%,ekfac,held-out,18,0.007168372470914619,0.0008063873392529786,3
4000,top1%,ekfac,held-out,19,0.006793975830078125,0.00044252106454223394,3
4000,top1%,bm25,in-dist,0,0.0032158470153808593,0.0008088289151139804,100
4000,top1%,bm25,in-dist,1,0.007766592502593994,0.00079384348427513,100
4000,top1%,bm25,in-dist,2,0.004599635601043701,0.000849251525470888,100
4000,top1%,bm25,in-dist,3,0.004206497669219971,0.0006644709203955666,100
4000,top1%,bm25,in-dist,4,0.005960788726806641,0.000699863721229262,100
4000,top1%,bm25,in-dist,5,0.009357836246490479,0.0008757227633470277,100
4000,top1%,bm25,in-dist,6,0.00917722225189209,0.0009236935565168878,100
4000,top1%,bm25,in-dist,7,0.006062438488006592,0.0007721412377631862,100
4000,top1%,bm25,in-dist,8,0.006866996288299561,0.0008646592270259106,100
4000,top1%,bm25,in-dist,9,0.012020502090454101,0.0008191620226652877,100
4000,top1%,bm25,in-dist,10,0.008283405303955079,0.0007019724819894328,100
4000,top1%,bm25,in-dist,11,0.010150561332702637,0.0007557512723337222,100
4000,top1%,bm25,in-dist,12,0.0053826022148132325,0.0006120376560869862,100
4000,top1%,bm25,in-dist,13,0.00400219440460205,0.000950339180930003,100
4000,top1%,bm25,in-dist,14,0.007800388336181641,0.000755751274274255,100
4000,top1%,bm25,in-dist,15,0.005393576622009277,0.0006863236190226138,100
4000,top1%,bm25,in-dist,16,0.006025207042694092,0.0007026229249084014,100
4000,top1%,bm25,in-dist,17,0.03805635690689087,0.0011916242986239032,100
4000,top1%,bm25,in-dist,18,0.0022696447372436523,0.0008988942609225759,100
4000,top1%,bm25,in-dist,19,-0.0007552218437194824,0.001000475459153497,100
4000,top1%,bm25,held-out,0,0.006931702286237851,0.0005468963063322008,3
4000,top1%,bm25,held-out,1,0.0033090909419115633,0.00032604788430035114,3
4000,top1%,bm25,held-out,2,0.006288290023803711,0.0007619640091434121,3
4000,top1%,bm25,held-out,3,0.004795074462890625,0.0009054157417267561,3
4000,top1%,bm25,held-out,4,0.011897007614606991,0.0002584374160505831,3
4000,top1%,bm25,held-out,5,0.0014560222625732422,0.0011624932521954179,3
4000,top1%,bm25,held-out,6,0.005265792191494256,0.0008480843971483409,3
4000,top1%,bm25,held-out,7,0.003816843032836914,0.00029949843883514404,3
4000,top1%,bm25,held-out,8,0.0052648385371867334,0.0005497192614711821,3
4000,top1%,bm25,held-out,9,0.006028254836564884,0.0007359129376709461,3
4000,top1%,bm25,held-out,10,0.009052912384504452,0.0004530308360699564,3
4000,top1%,bm25,held-out,11,0.0039365291595458984,0.0009048316278494895,3
4000,top1%,bm25,held-out,12,0.009658018738264218,0.000511088699568063,3
4000,top1%,bm25,held-out,13,0.007657686888705939,0.000258332904195413,3
4000,top1%,bm25,held-out,14,0.004382054015877657,0.0010558102512732148,3
4000,top1%,bm25,held-out,15,0.015513976410147734,0.0006328634335659444,3
4000,top1%,bm25,held-out,16,0.004990339279174805,0.0006162368808872998,3
4000,top1%,bm25,held-out,17,0.006339311599731445,0.000210873520700261,3
4000,top1%,bm25,held-out,18,0.007038911182462471,0.000806592870503664,3
4000,top1%,bm25,held-out,19,0.004041194915771484,0.00044269495992921293,3
4000,top1%,magic,in-dist,0,0.022569301130715758,0.0008129481575451791,100
4000,top1%,magic,in-dist,1,0.020602297779987566,0.0007979025831446052,100
4000,top1%,magic,in-dist,2,0.028773925303539727,0.0008534002699889243,100
4000,top1%,magic,in-dist,3,0.02270007610331959,0.0006676280172541738,100
4000,top1%,magic,in-dist,4,0.019579117299144855,0.0007034344598650932,100
4000,top1%,magic,in-dist,5,0.030754895211430266,0.0008803195669315755,100
4000,top1%,magic,in-dist,6,0.023007538315141574,0.0009284614352509379,100
4000,top1%,magic,in-dist,7,0.02699633836891735,0.0007759302388876677,100
4000,top1%,magic,in-dist,8,0.027689201830071397,0.0008689825190231204,100
4000,top1%,magic,in-dist,9,0.025170786379021592,0.0008230426465161145,100
4000,top1%,magic,in-dist,10,0.022286546231043758,0.0007055632886476815,100
4000,top1%,magic,in-dist,11,0.028492336277849972,0.0007595716742798686,100
4000,top1%,magic,in-dist,12,0.017032916548487265,0.0006152410060167313,100
4000,top1%,magic,in-dist,13,0.02494798660336528,0.0009551426628604531,100
4000,top1%,magic,in-dist,14,0.02476053476857487,0.0007594794151373208,100
4000,top1%,magic,in-dist,15,0.019279258252936415,0.0006896950653754175,100
4000,top1%,magic,in-dist,16,0.019566574096643308,0.0007061318610794842,100
4000,top1%,magic,in-dist,17,0.04975245952664409,0.0011976624373346567,100
4000,top1%,magic,in-dist,18,0.02033674716949463,0.0009036135743372142,100
4000,top1%,magic,in-dist,19,0.025980234146118164,0.0010053029982373118,100
4000,top40,ekfac,in-dist,0,0.007364352544755093,0.0005840234225615859,3
4000,top40,ekfac,in-dist,1,0.009829362243181095,0.000523510214406997,3
4000,top40,ekfac,in-dist,2,0.011024951934814453,0.0007956628105603158,3
4000,top40,ekfac,in-dist,3,0.006528059642732842,0.001084639341570437,3
4000,top40,ekfac,in-dist,4,0.009366591766593046,0.0009813973447307944,3
4000,top40,ekfac,in-dist,5,0.016303459808113985,0.0007888933760114014,3
4000,top40,ekfac,in-dist,6,0.01391927401709836,0.000190329912584275,3
4000,top40,ekfac,in-dist,7,0.010966618865495548,0.0005338970222510397,3
4000,top40,ekfac,in-dist,8,0.008209625877498183,0.0004874620062764734,3
4000,top40,ekfac,in-dist,9,0.014270226158259902,0.00015042781888041645,3
4000,top40,ekfac,in-dist,10,0.0136260986328125,0.0003970475518144667,3
4000,top40,ekfac,in-dist,11,0.015636444091796875,0.00036378635559231043,3
4000,top40,ekfac,in-dist,12,0.0068041483536944725,0.0009329391177743673,3
4000,top40,ekfac,in-dist,13,0.005250215530395508,0.0013241757405921817,3
4000,top40,ekfac,in-dist,14,0.007263739898917265,0.00040158024057745934,3
4000,top40,ekfac,in-dist,15,0.005626360565656796,0.00043631441076286137,3
4000,top40,ekfac,in-dist,16,0.007128477096557617,0.0004921479849144816,3
4000,top40,ekfac,in-dist,17,0.039169708878034726,0.0004540251975413412,3
4000,top40,ekfac,in-dist,18,0.005210002273088321,0.0003390876518096775,3
4000,top40,ekfac,in-dist,19,0.013810793578159064,0.0010032624704763293,3
4000,top40,bm25,in-dist,0,0.0032163238525390624,0.0008129036457646335,100
4000,top40,bm25,in-dist,1,0.007766830921173096,0.0007978427210936373,100
4000,top40,bm25,in-dist,2,0.004601781368255615,0.0008535298977648144,100
4000,top40,bm25,in-dist,3,0.004205305576324463,0.000667818402137638,100
4000,top40,bm25,in-dist,4,0.0059615039825439455,0.0007033895053634397,100
4000,top40,bm25,in-dist,5,0.009357120990753174,0.0008801344928470568,100
4000,top40,bm25,in-dist,6,0.009176983833312988,0.0009283469540107444,100
