query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,640,0.0795745849609375,0.00011754035949707031,0.0009681933443062007,3,1
1,640,0.06806492805480957,-0.000209808349609375,0.00025944181834347546,3,1
2,640,0.07318997383117676,6.119409954408184e-05,0.00032301328610628843,3,1
3,640,0.10224604606628418,2.1537145585170947e-05,0.0004208680475130677,3,1
4,640,0.10553550720214844,-0.0013926824321970344,0.00115816795732826,3,1
5,640,0.14249324798583984,-0.0009826818713918328,0.0008028987213037908,3,1
