subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,1280,3.097090482711792,3.0968222618103027,-0.0002682209014892578
0,1,1280,3.6417877674102783,3.6421213150024414,0.00033354759216308594
0,2,1280,3.6801106929779053,3.6809563636779785,0.0008456707000732422
0,3,1280,3.712989330291748,3.713980197906494,0.0009908676147460938
0,4,1280,3.461470365524292,3.4619839191436768,0.0005135536193847656
1,0,1280,3.097090482711792,3.097116708755493,2.6226043701171875e-05
1,1,1280,3.6417877674102783,3.6411149501800537,-0.0006728172302246094
1,2,1280,3.6801106929779053,3.6796505451202393,-0.0004601478576660156
1,3,1280,3.712989330291748,3.7149038314819336,0.0019145011901855469
1,4,1280,3.461470365524292,3.461120367050171,-0.00034999847412109375
2,0,1280,3.097090482711792,3.0990936756134033,0.002003192901611328
2,1,1280,3.6417877674102783,3.641913414001465,0.00012564659118652344
2,2,1280,3.6801106929779053,3.6805412769317627,0.0004305839538574219
2,3,1280,3.712989330291748,3.7135753631591797,0.0005860328674316406
2,4,1280,3.461470365524292,3.460768938064575,-0.0007014274597167969
