query,spearman_corr,spearman_p,pearson_corr,pearson_p,N,baseline_loss
0,0.5878787878787878,0.07387770688865808,0.30456227216379855,0.39220488980085666,10,3.357654333114624
1,0.10303030303030303,0.7769984634438898,0.7906088508085796,0.00647590510696773,10,3.4585511684417725
2,0.7818181818181817,0.0075470077810678785,0.9969831484940594,3.6109433999178893e-10,10,3.351853609085083
3,0.6121212121212121,0.05997214247725527,0.49643625851677214,0.14442554479838265,10,2.920982599258423
4,0.0303030303030303,0.9337729580941466,0.4005300348202235,0.2513853090601046,10,2.782388687133789
5,0.19999999999999998,0.5795840000000002,0.24924022911852986,0.48741229927232743,10,3.215150833129883
6,-0.06666666666666665,0.8548130882487427,0.17620398324433378,0.6262997736271695,10,3.2355990409851074
7,0.28484848484848485,0.4250381548921454,0.36734371498254853,0.29637244996515194,10,3.237042188644409
8,0.13939393939393938,0.7009318849100584,-0.1310793007006389,0.7181400837038181,10,2.990382671356201
9,-0.006060606060606061,0.9867429111949892,0.15338804066411418,0.6722473037281035,10,3.183187246322632
10,0.28484848484848485,0.4250381548921454,0.3641953429994154,0.3008486263712795,10,3.3856863975524902
11,-0.16363636363636364,0.6514773427962428,-0.24296333685730576,0.4987961202571126,10,3.013166904449463
12,0.5272727272727272,0.11730806555020232,0.5595033047362438,0.09262542729899771,10,3.2617621421813965
13,0.3696969696969697,0.29305007529282234,0.11450336596439009,0.7527821311943209,10,3.7604427337646484
14,0.5878787878787878,0.07387770688865808,0.6525426586534238,0.040836426231066626,10,3.5589170455932617
15,0.11515151515151514,0.7514196523258485,0.6108574252390097,0.06065058564522405,10,3.517090082168579
16,0.7212121212121211,0.01857315508946023,0.6629515369545788,0.036677408790819196,10,3.85158109664917
17,0.06079055436800646,0.8675109976588954,0.21319424237709508,0.5542627893055594,10,3.45725679397583
18,0.6121212121212121,0.05997214247725527,0.6084503377363701,0.061956721666389665,10,2.8304808139801025
19,-0.04242424242424241,0.9073638178128159,-0.08844655152231622,0.8080296068636382,10,2.4193503856658936
