query,n_removed,baseline_loss,filtered_loss,loss_change
0,40,3.4060041904449463,3.4316744804382324,0.025670289993286133
1,40,3.5302278995513916,3.55251145362854,0.022283554077148438
2,40,3.4479339122772217,3.492241859436035,0.04430794715881348
3,40,2.99041485786438,3.0166687965393066,0.026253938674926758
4,40,2.839458465576172,2.8611786365509033,0.021720170974731445
5,40,3.330832004547119,3.3660149574279785,0.035182952880859375
6,40,3.3178443908691406,3.3446552753448486,0.026810884475708008
7,40,3.3415353298187256,3.374211311340332,0.032675981521606445
8,40,3.0509581565856934,3.077604293823242,0.026646137237548828
9,40,3.275113105773926,3.3019118309020996,0.026798725128173828
