query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.03795766830444336,0.001470191520638764,0.001174050266854465,100,1
1,160,0.039165496826171875,0.0006769108586013317,0.0012764498824253678,100,1
2,160,0.07039117813110352,0.0003858160926029086,0.0014297346351668239,100,1
3,160,0.048763275146484375,0.0003214216267224401,0.0013179315719753504,100,1
4,160,0.040163516998291016,5.57637213205453e-05,0.001019491464830935,100,1
5,160,0.05847287178039551,0.0014557719696313143,0.0013560865772888064,100,1
6,160,0.05011773109436035,0.0012987327063456178,0.0013459468027576804,100,1
7,160,0.05908632278442383,0.0016835069982334971,0.0014583743177354336,100,1
8,160,0.0417938232421875,0.00021402597485575825,0.0012080648448318243,100,1
9,160,0.05076789855957031,0.00042458533425815403,0.0012969685485586524,100,1
10,160,0.05858874320983887,8.479595271637663e-05,0.001294266083277762,100,1
11,160,0.07642793655395508,0.002394762123003602,0.0013466323725879192,100,1
12,160,0.09328603744506836,0.001261932891793549,0.00482289120554924,100,1
13,160,0.02725386619567871,-0.00046578168985433877,0.000988244661130011,100,1
14,160,0.0301666259765625,0.0027214002329856157,0.00092920265160501,100,1
15,160,0.025288820266723633,0.0006858992855995893,0.0009442779119126499,100,1
16,160,0.026988983154296875,6.758690142305568e-05,0.001117491745389998,100,1
17,160,0.06389403343200684,0.00370213994756341,0.0009518072474747896,100,1
18,160,0.03418850898742676,0.002957966411486268,0.001054037013091147,100,1
19,160,0.042053937911987305,0.0028414512053132057,0.0012616451131179929,100,1
