run_id,optimizer,n_docs,batch_size,n_epochs,n_steps,lr,metasmoothness,fd_step,heldout_loss,magic_lds,ekfac_lds,hardware,world_size,status,run_dir,notes
london16k_bs16_adamw,adamw,16000,16,2,2000,0.0002,0.9058,0.1,,,,,2,done,/mnt/ssd-2/lucia/paper_runs/experiments/london16k_bs16_adamw,"Distribution-shift arm at bs16 (2000 steps). Batch is the axis that moves ms hardest on smollm2, so a corpus effect should be most visible here."
london16k_bs16_muon,muon,16000,16,2,2000,0.0002,0.964,0.1,,,,,2,done,/mnt/ssd-2/lucia/paper_runs/experiments/london16k_bs16_muon,"Distribution-shift arm at bs16 (2000 steps). Batch is the axis that moves ms hardest on smollm2, so a corpus effect should be most visible here."
london16k_bs256_adamw,adamw,16000,256,2,125,0.0008,0.9867,0.1,3.8397,,,,2,done,/mnt/ssd-2/lucia/paper_runs/experiments/london16k_bs256_adamw,"Distribution-shift arm, pre-1931 corpus. Compare ms with the smollm2 row at N=16000 bs256; the losses are not comparable across held-out sets."
london16k_bs256_muon,muon,16000,256,2,125,0.0008,0.9321,0.1,3.8394,,,,2,done,/mnt/ssd-2/lucia/paper_runs/experiments/london16k_bs256_muon,"Distribution-shift arm, pre-1931 corpus. Compare ms with the smollm2 row at N=16000 bs256; the losses are not comparable across held-out sets."
london32k_bs256_adamw,adamw,32000,256,2,250,0.0008,0.9712,0.1,3.7873,,,,2,done,/mnt/ssd-2/lucia/paper_runs/experiments/london32k_bs256_adamw,"Distribution-shift arm, pre-1931 corpus. Compare ms with the smollm2 row at N=32000 bs256; the losses are not comparable across held-out sets."
london32k_bs256_muon,muon,32000,256,2,250,0.0008,0.9619,0.1,3.7842,,,,2,done,/mnt/ssd-2/lucia/paper_runs/experiments/london32k_bs256_muon,"Distribution-shift arm, pre-1931 corpus. Compare ms with the smollm2 row at N=32000 bs256; the losses are not comparable across held-out sets."
london64k_bs256_adamw,adamw,64000,256,2,500,0.0016,0.7,0.1,3.6099,,,,2,done,/mnt/ssd-2/lucia/paper_runs/experiments/london64k_bs256_adamw,"Distribution-shift arm, pre-1931 corpus. Compare ms with the smollm2 row at N=64000 bs256; the losses are not comparable across held-out sets."
london64k_bs256_muon,muon,64000,256,2,500,0.0016,0.4434,0.1,3.5993,,,,2,done,/mnt/ssd-2/lucia/paper_runs/experiments/london64k_bs256_muon,"Distribution-shift arm, pre-1931 corpus. Compare ms with the smollm2 row at N=64000 bs256; the losses are not comparable across held-out sets."
london128k_bs256_adamw,adamw,128000,256,2,1000,0.0016,,0.1,3.4992,,,,2,running,/mnt/ssd-2/lucia/paper_runs/experiments/london128k_bs256_adamw,"Distribution-shift arm, pre-1931 corpus. Compare ms with the smollm2 row at N=128000 bs256; the losses are not comparable across held-out sets."
london128k_bs256_muon,muon,128000,256,2,1000,0.0016,,0.1,3.4845,,,,2,running,/mnt/ssd-2/lucia/paper_runs/experiments/london128k_bs256_muon,"Distribution-shift arm, pre-1931 corpus. Compare ms with the smollm2 row at N=128000 bs256; the losses are not comparable across held-out sets."
