query,n_removed,baseline_loss,filtered_loss,loss_change
0,40,2.8603265285491943,2.8736300468444824,0.013303518295288086
1,40,2.9381182193756104,2.9479000568389893,0.009781837463378906
2,40,2.836435317993164,2.8426718711853027,0.006236553192138672
3,40,2.8633475303649902,2.881291151046753,0.017943620681762695
4,40,3.419262647628784,3.4300599098205566,0.010797262191772461
5,40,3.124162197113037,3.1337969303131104,0.009634733200073242
6,40,3.6991565227508545,3.7069954872131348,0.007838964462280273
7,40,3.715817451477051,3.722024440765381,0.006206989288330078
8,40,3.753380298614502,3.7598390579223633,0.006458759307861328
9,40,3.510023355484009,3.522780656814575,0.012757301330566406
10,40,3.374248743057251,3.3830106258392334,0.008761882781982422
11,40,2.7420074939727783,2.7515032291412354,0.009495735168457031
12,40,3.133234739303589,3.1643154621124268,0.03108072280883789
13,40,3.37815523147583,3.3852431774139404,0.0070879459381103516
14,40,3.386932611465454,3.402177333831787,0.015244722366333008
15,40,3.107529640197754,3.136716842651367,0.02918720245361328
16,40,3.374903440475464,3.3833611011505127,0.008457660675048828
17,40,3.4857232570648193,3.495156764984131,0.009433507919311523
18,40,3.6362624168395996,3.6454694271087646,0.009207010269165039
19,40,3.9670302867889404,3.9784348011016846,0.01140451431274414
