subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,1600,2.6033167839050293,2.6068859100341797,0.0035691261291503906
0,1,1600,3.103635549545288,3.1048643589019775,0.0012288093566894531
0,2,1600,2.1191980838775635,2.107534408569336,-0.011663675308227539
0,3,1600,2.292445659637451,2.2858173847198486,-0.006628274917602539
1,0,1600,2.6033167839050293,2.597435474395752,-0.005881309509277344
1,1,1600,3.103635549545288,3.115938663482666,0.01230311393737793
1,2,1600,2.1191980838775635,2.1058692932128906,-0.013328790664672852
1,3,1600,2.292445659637451,2.297879934310913,0.005434274673461914
2,0,1600,2.6033167839050293,2.6068878173828125,0.003571033477783203
2,1,1600,3.103635549545288,3.1049578189849854,0.0013222694396972656
2,2,1600,2.1191980838775635,2.110516309738159,-0.008681774139404297
2,3,1600,2.292445659637451,2.287121534347534,-0.005324125289916992
