query,n_removed,baseline_loss,filtered_loss,loss_change
0,40,3.4124388694763184,3.4399516582489014,0.027512788772583008
1,40,3.544938802719116,3.571645736694336,0.026706933975219727
2,40,3.4617059230804443,3.512934684753418,0.05122876167297363
3,40,3.000491142272949,3.040493965148926,0.04000282287597656
4,40,2.8379554748535156,2.8669939041137695,0.029038429260253906
5,40,3.3483223915100098,3.38783860206604,0.03951621055603027
6,40,3.339423894882202,3.369981527328491,0.030557632446289062
7,40,3.3505868911743164,3.3957936763763428,0.04520678520202637
8,40,3.059044599533081,3.088433027267456,0.029388427734375
9,40,3.280907392501831,3.313521385192871,0.03261399269104004
10,40,3.5031793117523193,3.542400360107422,0.03922104835510254
11,40,3.1410508155822754,3.203627586364746,0.0625767707824707
12,40,3.3397011756896973,3.394587993621826,0.054886817932128906
13,40,3.8051528930664062,3.835374355316162,0.03022146224975586
14,40,3.6386709213256836,3.661975145339966,0.023304224014282227
15,40,3.561279296875,3.6089799404144287,0.04770064353942871
16,40,3.921374797821045,3.94212007522583,0.020745277404785156
17,40,3.5918846130371094,3.723776340484619,0.13189172744750977
18,40,2.9101099967956543,2.932697296142578,0.022587299346923828
19,40,2.503500461578369,2.54125714302063,0.03775668144226074
