subset,query,n_removed,baseline_loss,filtered_loss,loss_change
0,0,40,3.4124388694763184,3.4117634296417236,-0.0006754398345947266
0,1,40,3.544938802719116,3.5449604988098145,2.1696090698242188e-05
0,2,40,3.4617059230804443,3.4608230590820312,-0.0008828639984130859
0,3,40,3.000491142272949,2.999863624572754,-0.0006275177001953125
0,4,40,2.8379554748535156,2.8376028537750244,-0.00035262107849121094
0,5,40,3.3483223915100098,3.348407030105591,8.463859558105469e-05
0,6,40,3.339423656463623,3.3389461040496826,-0.0004775524139404297
0,7,40,3.3505868911743164,3.3500218391418457,-0.0005650520324707031
0,8,40,3.059044599533081,3.0584781169891357,-0.0005664825439453125
0,9,40,3.2809064388275146,3.2803637981414795,-0.0005426406860351562
0,10,40,3.5031793117523193,3.5028438568115234,-0.00033545494079589844
0,11,40,3.1410508155822754,3.1404035091400146,-0.0006473064422607422
0,12,40,3.3397011756896973,3.340484857559204,0.0007836818695068359
0,13,40,3.8051528930664062,3.8046212196350098,-0.0005316734313964844
0,14,40,3.6386709213256836,3.638286590576172,-0.00038433074951171875
0,15,40,3.561279296875,3.560525894165039,-0.0007534027099609375
0,16,40,3.921374797821045,3.921077251434326,-0.00029754638671875
0,17,40,3.5918846130371094,3.591343402862549,-0.0005412101745605469
0,18,40,2.9101102352142334,2.9103384017944336,0.0002281665802001953
0,19,40,2.50350022315979,2.503708839416504,0.0002086162567138672
1,0,40,3.4124388694763184,3.4124200344085693,-1.8835067749023438e-05
1,1,40,3.544938802719116,3.544373035430908,-0.0005657672882080078
1,2,40,3.4617059230804443,3.4626073837280273,0.0009014606475830078
1,3,40,3.000491142272949,3.0004780292510986,-1.3113021850585938e-05
1,4,40,2.8379554748535156,2.8376424312591553,-0.00031304359436035156
1,5,40,3.3483223915100098,3.348585844039917,0.00026345252990722656
1,6,40,3.339423656463623,3.339629650115967,0.00020599365234375
1,7,40,3.3505868911743164,3.3513882160186768,0.0008013248443603516
1,8,40,3.059044599533081,3.0591113567352295,6.67572021484375e-05
1,9,40,3.2809064388275146,3.2812111377716064,0.0003046989440917969
1,10,40,3.5031793117523193,3.5028235912323,-0.00035572052001953125
1,11,40,3.1410508155822754,3.1406195163726807,-0.00043129920959472656
1,12,40,3.3397011756896973,3.3465099334716797,0.006808757781982422
1,13,40,3.8051528930664062,3.805270195007324,0.00011730194091796875
1,14,40,3.6386709213256836,3.6392807960510254,0.0006098747253417969
1,15,40,3.561279296875,3.5610179901123047,-0.0002613067626953125
1,16,40,3.921374797821045,3.921433925628662,5.91278076171875e-05
1,17,40,3.5918846130371094,3.591172218322754,-0.0007123947143554688
1,18,40,2.9101102352142334,2.910418748855591,0.0003085136413574219
1,19,40,2.50350022315979,2.50386905670166,0.0003688335418701172
2,0,40,3.4124388694763184,3.412463665008545,2.47955322265625e-05
2,1,40,3.544938802719116,3.5449700355529785,3.123283386230469e-05
2,2,40,3.4617059230804443,3.461477756500244,-0.0002281665802001953
2,3,40,3.000491142272949,3.0004167556762695,-7.43865966796875e-05
2,4,40,2.8379554748535156,2.837503671646118,-0.00045180320739746094
2,5,40,3.3483223915100098,3.347702980041504,-0.0006194114685058594
2,6,40,3.339423656463623,3.339353561401367,-7.009506225585938e-05
2,7,40,3.3505868911743164,3.350501537322998,-8.535385131835938e-05
2,8,40,3.059044599533081,3.0590736865997314,2.9087066650390625e-05
2,9,40,3.2809064388275146,3.281324625015259,0.0004181861877441406
2,10,40,3.5031793117523193,3.502418041229248,-0.0007612705230712891
2,11,40,3.1410508155822754,3.1414339542388916,0.00038313865661621094
2,12,40,3.3397011756896973,3.3394064903259277,-0.00029468536376953125
2,13,40,3.8051528930664062,3.8051676750183105,1.4781951904296875e-05
2,14,40,3.6386709213256836,3.6395578384399414,0.0008869171142578125
2,15,40,3.561279296875,3.561190128326416,-8.916854858398438e-05
2,16,40,3.921374797821045,3.921405553817749,3.075599670410156e-05
2,17,40,3.5918846130371094,3.593730926513672,0.0018463134765625
2,18,40,2.9101102352142334,2.910188674926758,7.843971252441406e-05
2,19,40,2.50350022315979,2.5034265518188477,-7.367134094238281e-05
