query,n_removed,baseline_loss,filtered_loss,loss_change
0,160,3.6229443550109863,3.6241612434387207,0.001216888427734375
1,160,3.680558204650879,3.681746244430542,0.001188039779663086
2,160,3.6227216720581055,3.647282123565674,0.02456045150756836
3,160,3.1498072147369385,3.1531589031219482,0.0033516883850097656
4,160,2.9871938228607178,2.980407953262329,-0.006785869598388672
5,160,3.5283491611480713,3.5392849445343018,0.010935783386230469
6,160,3.502077102661133,3.4973738193511963,-0.0047032833099365234
7,160,3.502817392349243,3.503347158432007,0.0005297660827636719
8,160,3.197089672088623,3.191154718399048,-0.005934953689575195
9,160,3.420652389526367,3.423287868499756,0.002635478973388672
10,160,3.6439313888549805,3.653127670288086,0.009196281433105469
11,160,3.2363147735595703,3.2353932857513428,-0.0009214878082275391
12,160,3.4860000610351562,3.484302282333374,-0.0016977787017822266
13,160,3.962362289428711,3.962578773498535,0.00021648406982421875
14,160,3.8877689838409424,3.88883638381958,0.0010673999786376953
15,160,3.7099976539611816,3.7089195251464844,-0.0010781288146972656
16,160,4.127080917358398,4.128640174865723,0.0015592575073242188
17,160,3.7684454917907715,3.7690305709838867,0.0005850791931152344
18,160,3.180039405822754,3.181318521499634,0.0012791156768798828
19,160,2.7798354625701904,2.769535541534424,-0.010299921035766602
