dataset,scale_k,filter_change,random_mean,random_sd,random_n,rank
wikitext103,4,0.007498502731323242,0.002775907516479492,0.0003868867934215814,3,1
wikitext103,8,0.025356769561767578,0.0024840037804096937,0.0012555813882499933,3,1
wikitext103,16,0.03359794616699219,0.0004587968287523836,0.00013768633652944118,3,1
wikitext103,32,0.03923988342285156,0.0002548694610595703,5.2935367421014234e-05,3,1
wikitext103,64,0.039667367935180664,-0.0007338523864746094,0.00028503846260719,3,1
wikitext103,128,0.05349898338317871,1.8517175703891553e-05,0.0002281186607433483,3,1
wikitext103,256,0.06380558013916016,-5.4518382967216894e-05,0.00012260704534128308,3,1
wikitext103,512,-0.05633044242858887,-0.0017555555095896125,0.0006294155609793961,3,4
bioforget,4,0.003382444381713867,0.0005904038553126156,0.00019392480317037553,3,1
bioforget,8,0.005804538726806641,0.0008532206411473453,7.045958045637235e-05,3,1
bioforget,16,0.010704517364501953,0.0002849102020263672,0.00019795764819718897,3,1
bioforget,32,0.012060165405273438,9.57647935138084e-05,2.9608414479298517e-05,3,1
bioforget,64,0.012866497039794922,0.00013820330786984414,0.0001118669388233684,3,1
bioforget,128,0.022137165069580078,0.00029834112501703203,0.000347480847267434,3,1
bioforget,256,0.030197620391845703,0.0004031658172607422,0.0001141148604801856,3,1
bioforget,512,-0.07352614402770996,-1.0331471457902808e-05,0.0005954024381935596,3,4
